"bloco_pesquisa","marca","linha_modelo","sku_referencia","sku_ref","categoria_subcategoria","configuracao_formato","diametro_espessura","diametro_espessura_unidade","agulhas_pontas","pontas","taper","apresentacao","indicacao_de_aplicacao","indicacao_publicada_ou_uso_tecnico_conservador","indicacao_publicada_ou_cautela","presenca_comercial_no_brasil_especificacao_confirmada","presenca_no_brasil_especificacao","fonte_direta","linha_modelo_publicado","diametro","indicacao_publicada_ou_uso_conservador","diametro_espessura_agulhas_pontas_taper","apresentacao_publicada","configuracao_formato_diametro_espessura","agulhas_pontas_taper","indicacao_publicada_ou_cautela_tecnica","aplicacao_publicada_ou_indicacao_conservadora","especificacao_presenca_no_brasil","qtd_agulhas_pontas","diametro_espessura_quantidade_de_agulhas_pontas_taper","indicacao_do_fabricante_cautela","presenca_comercial_no_brasil_vs_especificacao"
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Stand for cups BIG","","não publicado","Suporte para copos","","","","","","","1 unidade","Apoio de copos de maior porte; uso usual, confirmar com fabricante","","","","","[1]","","","","","","formato grande; capacidade, número de furos e medidas não publicados","não aplicável","","","","","","",""
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Pigment cup holder - steel","","8715","Suporte de copos de pigmento","","","","","","","1 unidade","Suporte de copos; uso usual, confirmar com fabricante","","","","","[5]","","","","","","aço; número de furos e diâmetros compatíveis não publicados na página consultada","não aplicável","","","","","","",""
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Pigment cup holder - plastic","","8716","Suporte de copos de pigmento","","","","","","","1 unidade","Organização de múltiplas cores de pigmento; a página declara 8 aberturas e compatibilidade dimensional","","","","","[6]","","","","","","plástico; 8 aberturas, compatíveis com copos de 10, 14 e 17 mm","não aplicável","","","","","","",""
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Stand for cups from plexiglass","","não publicado","Suporte para copos","","","","","","","1 unidade","Apoio e organização de copos; uso usual, confirmar com fabricante","","","","","[1]","","","","","","plexiglass; número de furos e medidas não publicados","não aplicável","","","","","","",""
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","CUP INK GLUE","","não publicado","Adesivo para copos/batoques","","","","","","","1 embalagem de 50 g","Fixação de copos à superfície/bandeja; uso usual, confirmar com fabricante","","","","","[1]","","","","","","não aplicável; massa de 50 g","não aplicável","","","","","","",""
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","MAGIC TAPE Double-sided tape for cups BLACK","","não publicado","Fita dupla-face para copos","","","","","","","1 rolo de 5 m; preto","Fixar copos/batoques e organizar a bancada; uso usual, confirmar com fabricante","","","","","[1]","","","","","","rolo; comprimento publicado de 5 m; largura não publicada","não aplicável","","","","","","",""
"Batoques, copos de tinta, suportes e acessórios de pigmento","ArtPig Brasil","Batoques de Silicone com Base e Ventosa — tamanho M","","não publicado","Batoque de silicone; base antiderrapante","","","","","","","100 unidades (distribuidor) ou 300 unidades (distribuidor); cores publicadas incluem pink, ciano e kits de cores","Batoque para pigmento com maior estabilidade na bancada; distribuidor descreve base com ventosa, superfície lisa e uso único; esterilização e descarte devem seguir rotulagem","","","","","[7] [8]","","","","","","formato circular, tamanho M; diâmetro/espessura não publicados; capacidade de 1 ml","não aplicável","","","","","","",""
"Batoques, copos de tinta, suportes e acessórios de pigmento","ArtPig Brasil","Batoque de Silicone Premium — tamanho M","","não publicado","Batoque de silicone premium","","","","","","","300 unidades","Uso de pigmento com base emborrachada/ventosa; especificação confirmada por distribuidor, uso clínico/tatuagem conforme rotulagem","","","","","[9]","","","","","","tamanho M; diâmetro/espessura não publicados; capacidade de 1 ml","não aplicável","","","","","","",""
"Stencil: papel térmico, impressoras, transfer e fixadores","Spirit Tattoo / ReproFX","Classic Thermal 11\""","não publicado","","papel térmico / stencil","folha térmica 11\""; largura exata não publicada na página","não publicado","","não aplicável","","não aplicável","linha publicada como “11\""”; quantidade não publicada na página consultada","","","","Presença comercial: distribuidor listado pela Spirit no Brasil (Electric Ink); especificação confirmada: linha e formato pelo fabricante","","Spirit Classic Thermal 11\""","","","","","","","","transferência térmica de stencil; uso em impressoras térmicas, confirmar compatibilidade dimensional","","","","","",""
"Stencil: papel térmico, impressoras, transfer e fixadores","Spirit Tattoo / ReproFX","Classic Thermal 14\""","não publicado","","papel térmico / stencil","folha térmica 14\""; largura exata não publicada na página","não publicado","","não aplicável","","não aplicável","linha publicada como “14\""”; quantidade não publicada na página consultada","","","","Presença comercial: distribuidor listado pela Spirit no Brasil (Electric Ink); especificação confirmada: linha e formato pelo fabricante","","Spirit Classic Thermal 14\""","","","","","","","","transferência térmica de stencil; uso em impressoras térmicas, confirmar compatibilidade dimensional","","","","","",""
"Stencil: papel térmico, impressoras, transfer e fixadores","Spirit Tattoo / ReproFX","Classic Thermal Transparent Stencils / Clear Cut","não publicado","","papel térmico / stencil transparente","folha superior transparente; compatível com todas as impressoras térmicas, segundo fabricante","não publicado","","não aplicável","","não aplicável","caixa com 25 unidades térmicas transparentes","","","","Presença comercial: revendedores listados pela Spirit, incluindo Electric Ink no Brasil; especificação confirmada: 25 unidades, compatibilidade e características pelo fabricante","","Spirit Classic Thermal Transparent Stencils","","","","","","","","stencil de alta visibilidade para facilitar posicionamento, cover-up e preenchimento detalhado; fabricante informa produto skin-safe, vegano e estável em prateleira","","","","","",""
"Stencil: papel térmico, impressoras, transfer e fixadores","Spirit Tattoo","Classic Freehand","não publicado","","papel de transferência / freehand","formato e dimensões não publicados na página consultada","não publicado","","não aplicável","","não aplicável","apresentação e quantidade não publicadas na página consultada; produto listado pelo fabricante","","","","Presença comercial: catálogo/revendedores Spirit; especificação confirmada apenas quanto à existência da linha","","Spirit Classic Freehand","","","","","","","","desenho freehand e transferência manual; “uso usual, confirmar com fabricante” quanto a substrato e procedimento","","","","","",""
"Stencil: papel térmico, impressoras, transfer e fixadores","S8 Tattoo / Brother Mobile Solutions","S8 Stencil Printer 8 Series – Wireless","PJ-773-C132 (referência Brother para versão Wi‑Fi/USB; a página S8 também chama “8 Series – Wireless”)","","impressora / stencil térmico","impressora portátil para papel térmico de stencil; S8 informa impressão a 300 dpi, Bluetooth e compatibilidade com Mac, iPhone, iPad, Windows e Android","não publicado pela S8; Brother publica velocidade de até 8 páginas/min e interfaces USB 2.0/Wi‑Fi","","não aplicável","","não aplicável","unidade; bateria Li-Ion opcional, até 600 impressões conforme S8","","","","Presença comercial no Brasil não confirmada nas páginas consultadas; especificação confirmada pelos fabricantes quanto a 300 dpi, conectividade e compatibilidade","","S8 Stencil Printer; Brother PJ-773-C132","","","","","","","","impressão digital de stencils para estúdios; compatível com S8 Thermal e Spirit Thermal; confirmar voltagem, disponibilidade e assistência no Brasil","","","","","",""
"Stencil: papel térmico, impressoras, transfer e fixadores","S8 Tattoo / Brother Mobile Solutions","S8 Stencil Printer 8 Series – USB","referência exata não publicada na página S8 consultada","","impressora / stencil térmico","versão USB; formato máximo de mídia não publicado pela S8 consultada","não publicado","","não aplicável","","não aplicável","unidade","","","","Presença comercial no Brasil não confirmada; existência da variação USB confirmada no catálogo S8","","S8 Stencil Printer","","","","","","","","impressão de stencil térmico; “uso usual, confirmar com fabricante” para sistema operacional, mídia e consumíveis específicos","","","","","",""
"Stencil: papel térmico, impressoras, transfer e fixadores","HPRT","Wireless Tattoo Stencil Printer with 10 Transfer Sheets, Black","SKU 100601760; barcode não publicado como código EAN no catálogo","","impressora / stencil térmico","portátil, térmica, Bluetooth para iOS/Android e USB para Windows/Mac","não publicado; peso publicado de 530 g; bateria interna 2000 mAh","","não aplicável","","não aplicável","unidade com 10 folhas de transferência; página também informa até 200 stencils por carga","","","","Presença comercial brasileira não confirmada; especificação confirmada pelo fabricante/distribuidor HPRT, produto marcado como sold out na página consultada","","HPRT Wireless Tattoo Stencil Printer","","","","","","","","impressão térmica sem tinta para desenhos de tatuagem; o fabricante informa que o papel não transfere diretamente à pele e requer álcool + creme/gel de transferência","","","","","",""
"Stencil: papel térmico, impressoras, transfer e fixadores","Xprinter","K82 Tattoo Stencil Printer","K82","","impressora / stencil térmico","largura máxima de impressão 210 mm; impressão térmica direta","não publicado; resolução publicada de 203 dpi","","não aplicável","","não aplicável","unidade","","","","Presença comercial brasileira não confirmada; especificação confirmada na ficha do fabricante","","Xprinter K82","","","","","","","","papel de transferência para tatuagem; uso para stencil térmico, confirmar compatibilidade com marcas de papel","","","","","",""
"Stencil: papel térmico, impressoras, transfer e fixadores","Electrum","Premium Tattoo Stencil Primer 2 oz","não publicado","","transfer/fixador / primer de stencil","loção/primer para aplicação de stencil e arte freehand","não aplicável","","não aplicável","","não aplicável","frasco de 2 oz; fabricante também lista 8 oz","","","","Presença comercial brasileira não confirmada; especificação confirmada pelo fabricante/distribuidor oficial Electrum","","Electrum Premium Primer 2 oz","","","","","","","","aplicação de stencil de carbono e marcador freehand; fabricante informa retenção, fórmula vegana/não tóxica e compatibilidade com papéis Spirit purple, green e red","","","","","",""
"Stencil: papel térmico, impressoras, transfer e fixadores","Electrum","Premium Tattoo Stencil Primer 8 oz","não publicado","","transfer/fixador / primer de stencil","frasco de 8 oz","não aplicável","","não aplicável","","não aplicável","frasco 8 oz","","","","Presença comercial brasileira não confirmada; especificação confirmada pelo catálogo Electrum","","Electrum Premium Primer","","","","","","","","fixação de stencil de carbono e desenho freehand; fabricante informa compatibilidade com Spirit purple, green e red","","","","","",""
"Stencil: papel térmico, impressoras, transfer e fixadores","Electrum","Gold Standard Tattoo Stencil Primer 8 oz","não publicado","","transfer/fixador / primer de stencil","frasco de 8 oz","não aplicável","","não aplicável","","não aplicável","frasco 8 oz","","","","Presença comercial brasileira não confirmada; existência e volume confirmados no catálogo Electrum","","Electrum Premium Primer","","","","","","","","primer de stencil; descrição do fabricante enfatiza aderência e limpeza durante a sessão; “uso usual, confirmar com fabricante” para compatibilidade com papéis não Spirit","","","","","",""
"Stencil: papel térmico, impressoras, transfer e fixadores","Electrum","Premium Tattoo Skin Prep and Stencil Repositioner 8 oz","não publicado","","transfer/fixador / reposicionador e preparo de pele","frasco de 8 oz","não aplicável","","não aplicável","","não aplicável","frasco 8 oz","","","","Presença comercial brasileira não confirmada; especificação confirmada pelo catálogo Electrum","","Electrum Premium Primer","","","","","","","","remover/reposicionar stencil e preparar a pele; fabricante informa remoção de stencil sem fricção excessiva","","","","","",""
"Stencil: papel térmico, impressoras, transfer e fixadores","Electrum","Premium Tattoo Skin Prep and Stencil Repositioner 32 oz","não publicado","","transfer/fixador / reposicionador e preparo de pele","frasco de 32 oz","não aplicável","","não aplicável","","não aplicável","frasco 32 oz","","","","Presença comercial brasileira não confirmada; volume confirmado no catálogo Electrum","","Electrum Premium Primer","","","","","","","","preparo de pele e remoção/reposicionamento de stencil; “uso usual, confirmar com fabricante” para protocolo de assepsia do estúdio","","","","","",""
"Stencil: papel térmico, impressoras, transfer e fixadores","S8 Tattoo","S8 Red Thermal Paper","não publicado","","papel térmico / stencil vermelho","folha térmica vermelha; tamanho e espessura não publicados na página consultada","não publicado","","não aplicável","","não aplicável","50 unidades e 100 unidades, variações publicadas no catálogo S8","","","","Presença comercial brasileira não confirmada; especificação confirmada quanto à cor e às apresentações 50/100","","S8 Red Stencil Paper; Spirit duplicadores recomendados","","","","","","","","papel para impressora térmica e stencil; S8/Spirit confirmam compatibilidade com impressora S8; “uso usual, confirmar com fabricante” para outros duplicadores","","","","","",""
"Stencil: papel térmico, impressoras, transfer e fixadores","S8 Tattoo","8oz Transfer Gel","não publicado","","transfer/fixador / gel de transferência","frasco de 8 oz","não publicado","","não aplicável","","não aplicável","frasco 8 oz","","","","Presença comercial brasileira não confirmada; existência e volume confirmados no catálogo S8","","S8 Stencil Printer collection","","","","","","","","gel de transferência de stencil; indicação técnica conservadora: “uso usual, confirmar com fabricante” quanto a pele, tempo de secagem e compatibilidade","","","","","",""
"Stencil: papel térmico, impressoras, transfer e fixadores","S8 Tattoo","8oz Tattoo Gel","não publicado","","transfer/fixador / gel","frasco de 8 oz","não publicado","","não aplicável","","não aplicável","frasco 8 oz","","","","Presença comercial brasileira não confirmada; apenas existência e volume confirmados","","S8 Stencil Printer collection","","","","","","","","produto listado como gel para tatuagem; não classificar automaticamente como fixador sem ficha técnica adicional; “uso usual, confirmar com fabricante”","","","","","",""
"Stencil: papel térmico, impressoras, transfer e fixadores","Stencil Stuff","Spray Stuff 8 oz / 240 ml","não publicado","","fixador / spray de stencil","spray para fixar stencil e desenho freehand","não aplicável","","não aplicável","","não aplicável","frasco de 8 oz/240 ml","","","","Presença comercial no Brasil não confirmada; especificação confirmada pelo distribuidor reconhecido quanto ao volume e uso descrito","","Spray Stuff – I Max Shop","","","","","","","","distribuidor reconhecido descreve como fixador que prolonga a duração do stencil e pode definir desenhos freehand; confirmar fórmula e disponibilidade com fabricante","","","","","",""
"Máquinas, grips, fontes, baterias e cabos","Cheyenne","HAWK Spirit","","não publicado","Máquina rotativa","formato angular; motor com escovas; conexão jack macho 3,5 mm","grips S 22,0 mm ou M 25,4 mm","","não aplicável","","não publicado","unidade; grips vendidos/variantes de cor","","","","","","Cheyenne comparison","","","","","","","","","lining, color packing, shading, filling, dot work e pepper shading; intensidades comparativas publicadas pelo fabricante","especificação confirmada; presença comercial no Brasil não confirmada nesta pesquisa","","","",""
"Máquinas, grips, fontes, baterias e cabos","Cheyenne","HAWK Thunder","","não publicado","Máquina rotativa","formato angular; motor com escovas; jack macho 3,5 mm","grips S 22,0 mm ou M 25,4 mm","","não aplicável","","não publicado","unidade; grips e cores publicados","","","","","","Cheyenne comparison","","","","","","","","","lining, color packing, shading, filling, dot work e pepper shading; uso técnico indicado na tabela do fabricante","especificação confirmada; presença comercial no Brasil não confirmada nesta pesquisa","","","",""
"Máquinas, grips, fontes, baterias e cabos","Cheyenne","HAWK Pen","","não publicado","Máquina rotativa tipo pen","pen; motor com escovas; jack macho 3,5 mm","grip S cônico; M 25,4 mm; D-Grip Ergo 1-Inch, Round e Long","","não aplicável","","não publicado","unidade; grip M incluído","","","","","","Cheyenne comparison","","","","","","","","","lining, color packing, shading, filling, dot work e pepper shading; uso técnico conforme tabela do fabricante","especificação confirmada; presença comercial no Brasil não confirmada nesta pesquisa","","","",""
"Máquinas, grips, fontes, baterias e cabos","Cheyenne","SOL Nova","","não publicado","Máquina rotativa tipo pen","pen; motor brushless; Steady Mode; jack macho 3,5 mm","Standard 33,0 mm; D-Grip Ergo 1-Inch e Round","","não aplicável","","não publicado","unidade; grip Standard incluído","","","","","","Cheyenne comparison","","","","","","","","","lining, color packing, shading, filling, dot work e pepper shading; dot/pepper shading aparecem com maior adequação comparativa na tabela oficial","especificação confirmada; presença comercial no Brasil não confirmada nesta pesquisa","","","",""
"Máquinas, grips, fontes, baterias e cabos","Cheyenne","SOL Luna","","não publicado","Máquina rotativa angular","formato angular; motor brushless; Steady Mode; jack macho 3,5 mm","S 22,4 mm; M 25,4 mm; L 33,0 mm","","não aplicável","","não publicado","unidade; grips por tamanho","","","","","","Cheyenne comparison","","","","","","","","","lining, color packing, shading, filling, dot work e pepper shading; uso técnico conforme tabela do fabricante","especificação confirmada; presença comercial no Brasil não confirmada nesta pesquisa","","","",""
"Máquinas, grips, fontes, baterias e cabos","Cheyenne","SOL Terra","","não publicado","Máquina rotativa angular","formato angular; motor brushless; Steady Mode; jack macho 3,5 mm","S 22,4 mm; M 25,4 mm; L 33,0 mm","","não aplicável","","não publicado","unidade; grips por tamanho","","","","","","Cheyenne comparison","","","","","","","","","lining, color packing, shading, filling, dot work e pepper shading; uso técnico conforme tabela do fabricante","especificação confirmada; presença comercial no Brasil não confirmada nesta pesquisa","","","",""
"Máquinas, grips, fontes, baterias e cabos","Cheyenne","SOL Nova Unlimited 3.5","","não publicado","Máquina rotativa sem fio tipo pen","pen; brushless; bateria integrada/sem plug publicado na tabela","Standard 33,0 mm; Disposable Grip Ergo 1-Inch e Round","","não aplicável","","não publicado","unidade; Standard incluído; grips descartáveis disponíveis","","","","","","Cheyenne comparison","","","","","","","","","lining, color packing, shading, filling, dot work e pepper shading; uso técnico conforme tabela do fabricante","especificação confirmada; presença comercial no Brasil não confirmada nesta pesquisa","","","",""
"Máquinas, grips, fontes, baterias e cabos","Cheyenne","SOL Nova Unlimited 4.0","","não publicado","Máquina rotativa sem fio tipo pen","pen; brushless; bateria integrada/sem plug publicado na tabela","Standard 33,0 mm; Disposable Grip Ergo 1-Inch e Round","","não aplicável","","não publicado","unidade; Standard incluído; grips descartáveis disponíveis","","","","","","Cheyenne comparison","","","","","","","","","lining, color packing, shading, filling, dot work e pepper shading; uso técnico conforme tabela do fabricante","especificação confirmada; presença comercial no Brasil não confirmada nesta pesquisa","","","",""
"Máquinas, grips, fontes, baterias e cabos","Cheyenne","HAWK Spirit / Thunder / Pen; SOL Nova / Luna / Terra; SOL Nova Unlimited","","não publicado","Variações de grip","grips reutilizáveis ou descartáveis conforme família; cores publicadas incluem preto, vermelho, prata, roxo, laranja e outras específicas por modelo","22,0; 22,4; 25,4; 33,0 mm; conical quando indicado","","não aplicável","","não publicado","unidades; disposable grip em caixas/quantidade não publicada na fonte consultada","","","","","","Cheyenne comparison","","","","","","","","","ergonomia e compatibilidade com a máquina correspondente; confirmar esterilização e embalagem com distribuidor","especificação confirmada; disponibilidade brasileira não confirmada","","","",""
"Máquinas, grips, fontes, baterias e cabos","Bishop","Power Wand Advanced — Shader","","não publicado","Máquina rotativa sem fio","pen; curso fixo 3,5 mm; conexão magnética Snap; bateria Critical Connect","diâmetro do corpo/grip não publicado na página consultada","","não aplicável","","não publicado","máquina; opção de kit Full Set com bateria Standard ou Shorty, dock, cabo magnético e case","","","","","","Bishop Power Wand Advanced","","","","","","","","","black & grey, gradientes suaves, trabalho delicado e fine line, conforme fabricante","especificação confirmada; presença comercial no Brasil não confirmada nesta pesquisa","","","",""
"Máquinas, grips, fontes, baterias e cabos","Bishop","Power Wand Advanced — Packer","","não publicado","Máquina rotativa sem fio","pen; curso fixo 4,2 mm; conexão magnética Snap; bateria Critical Connect","diâmetro do corpo/grip não publicado","","não aplicável","","não publicado","máquina; Full Set com baterias Standard/Shorty, dock, cabo e case","","","","","","Bishop Power Wand Advanced","","","","","","","","","color packing, color realism, traditional color packing, saturação de tinta e linhas finas ou bold lines","especificação confirmada; presença comercial no Brasil não confirmada nesta pesquisa","","","",""
"Máquinas, grips, fontes, baterias e cabos","Bishop","Power Wand Advanced — Liner","","não publicado","Máquina rotativa sem fio","pen; curso fixo 5,0 mm; conexão magnética Snap; bateria Critical Connect","diâmetro do corpo/grip não publicado","","não aplicável","","não publicado","máquina; Full Set com baterias Standard/Shorty, dock, cabo e case","","","","","","Bishop Power Wand Advanced","","","","","","","","","line work de todos os tipos, 3RL shading, black work e dot work","especificação confirmada; presença comercial no Brasil não confirmada nesta pesquisa","","","",""
"Máquinas, grips, fontes, baterias e cabos","Bishop/Critical","Advanced Battery Standard","","não publicado","Bateria sem fio para Power Wand","bateria com conexão magnética; compatível com Power Wand original e Advanced, segundo fabricante","não publicado","","não aplicável","","não aplicável","unidade ou incluída no Full Set","","","","","","Bishop Power Wand Advanced","","","","","","","","","alimentação sem fio; autonomia publicada varia na própria página entre “até 6 h” e descrição comercial de até 9 h; cadastrar o valor do manual/embalagem recebido","especificação confirmada; presença comercial no Brasil não confirmada","","","",""
"Máquinas, grips, fontes, baterias e cabos","Bishop/Critical","Advanced Battery Shorty","","não publicado","Bateria sem fio compacta","bateria magnética Shorty","não publicado","","não aplicável","","não aplicável","unidade ou incluída no Full Set","","","","","","Bishop Power Wand Advanced","","","","","","","","","alimentação sem fio em configuração compacta; autonomia publicada entre “até 4 h” e “5 h” na mesma página; confirmar lote/manual","especificação confirmada; presença comercial no Brasil não confirmada","","","",""
"Máquinas, grips, fontes, baterias e cabos","FK Irons","Spektra Xion Stealth","","não publicado","Máquina rotativa tipo pen","alumínio aeronáutico; compatível com a maioria das fontes; rodas de curso intercambiáveis","diâmetro não publicado na página consultada; peso 5,36 oz","","não aplicável","","não publicado","unidade; rodas 3,2 mm e 3,7 mm incluídas","","","","","","FK Irons Xion Stealth","","","","","","","","","uso usual, confirmar com fabricante: curso curto/médio para lining, shading e packing conforme regulagem","especificação confirmada; presença comercial no Brasil não confirmada","","","",""
"Máquinas, grips, fontes, baterias e cabos","FK Irons","Slim Xion/Xion S Disposable Grip","","não publicado","Grip descartável","grip para máquinas com drive bar integrado; bore central publicado","4 mm; furo central 3 mm","","não aplicável","","não publicado","caixa com 24 unidades","","","","","","FK Irons Slim Xion/Xion S","","","","","","","","","uso usual, confirmar com fabricante: compatibilidade com máquinas de drive bar integrado","especificação confirmada; presença comercial no Brasil não confirmada","","","",""
"Máquinas, grips, fontes, baterias e cabos","Critical","Atom X","","CT-ATOM-X-BLACK; variante prata publicada","Fonte de alimentação digital","fonte para coil e rotary; base magnética de neodímio; modos manual, momentary e maintained; jump-start","1,75 in altura × 2,87 in diâmetro","","não aplicável","","não aplicável","unidade com adaptador e manual; cores preta e prata","","","","","","Worldwide Tattoo Supply — Atom X","","","","","","","","","alimentação e controle de tensão para máquinas coil/rotary; jump-start para rotativas de partida difícil","especificação confirmada por distribuidor reconhecido; presença comercial no Brasil não confirmada","","","",""
"Máquinas, grips, fontes, baterias e cabos","Critical","Connect V2 Universal Battery","","não publicado","Bateria universal sem fio","bateria Critical Connect; tecnologia Bluetooth 5.0; variante Universal","capacidade, dimensões, peso e autonomia não publicados na página oficial consultada","","não aplicável","","não aplicável","unidade; também em bundles com dock duplo/quádruplo","","","","","","Critical Tattoo","","","","","","","","","alimentação sem fio; confirmar compatibilidade mecânica/elétrica com a máquina específica","existência no fabricante confirmada; presença comercial no Brasil não confirmada","","","",""
"Máquinas, grips, fontes, baterias e cabos","Critical","Connect V2 Universal Shorty Battery","","não publicado","Bateria universal sem fio compacta","versão Shorty da Connect V2; Bluetooth 5.0","capacidade, dimensões, peso e autonomia não publicados","","não aplicável","","não aplicável","unidade; também em bundles","","","","","","Critical Tattoo","","","","","","","","","alimentação sem fio compacta; confirmar compatibilidade com a máquina específica","existência no fabricante confirmada; presença comercial no Brasil não confirmada","","","",""
"Máquinas, grips, fontes, baterias e cabos","Peak","Forge-C RCA Battery","","não publicado","Bateria sem fio com saída RCA","carcaça de alumínio; jack RCA padrão; jumpstart inicial em 9 V; há variante com jack 3,5 mm","aproximadamente 50 mm altura × 32 mm largura","","não aplicável","","não aplicável","unidade; cor preta na ficha consultada","","","","","","C&S Tattoo Supply — Peak RCA Battery","","","","","","","","","alimentação sem fio para máquina com RCA; uso usual, confirmar com fabricante para a variante de 3,5 mm","especificação confirmada por distribuidor reconhecido; presença comercial no Brasil não confirmada","","","",""
"Máquinas, grips, fontes, baterias e cabos","Peak","Forge-C 3.5 mm Battery","","não publicado","Bateria sem fio com saída 3,5 mm","variante de conector 3,5 mm mencionada na ficha do Forge-C","aproximadamente 50 mm × 32 mm, se a carcaça for a mesma; confirmar no SKU específico","","não aplicável","","não aplicável","unidade; cores e SKU não publicados na ficha consultada","","","","","","C&S Tattoo Supply — Peak RCA Battery","","","","","","","","","alimentação sem fio; uso usual, confirmar com fabricante para conexão e compatibilidade","existência/variante confirmada na ficha do distribuidor; presença comercial no Brasil não confirmada","","","",""
"Máquinas, grips, fontes, baterias e cabos","Bishop","RCA Cord","","não publicado","Cabo de máquina","cabo RCA; página oficial do Power Wand Advanced descreve cabo magnético atualizado para a versão Advanced, não uma ficha separada do RCA Cord","comprimento não publicado","","não aplicável","","não aplicável","incluído conforme kit; apresentação avulsa não confirmada","","","","","","Bishop Power Wand Advanced","","","","","","","","","conexão de máquina com RCA; uso usual, confirmar com fabricante","cabo magnético do kit confirmado; SKU/apresentação avulsa e presença no Brasil não confirmados","","","",""
"Máquinas, grips, fontes, baterias e cabos","Cheyenne","Cabo/conexão das famílias HAWK e SOL","","não publicado","Cabo/conector de máquina","jack macho 3,5 mm em jack cage nas HAWK e SOL com fio; Unlimited sem plug na tabela comparativa","comprimento não publicado","","não aplicável","","não aplicável","integrado/compatível com a máquina; cabo avulso não publicado","","","","","","Cheyenne comparison","","","","","","","","","conexão de fonte para HAWK/SOL com fio; confirmar pinagem e cabo de reposição","especificação de conector confirmada; presença comercial de cabo avulso no Brasil não confirmada","","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","Sispack","Pistola pressurizada PS 20","PS 20","","Limpeza e secagem / pistola","Pistola pressurizada","","não publicado","","","não aplicável","unidade","","Equipamento para limpeza e secagem; parâmetros de uso não publicados","","","Fabricante/distribuidor com site e contatos no Brasil; especificação confirmada apenas quanto ao nome e função publicada","Sispack — Produtos","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","Sispack","Pistola pressurizada PS 30","PS 30","","Limpeza e secagem / pistola","Pistola pressurizada","","não publicado","","","não aplicável","unidade","","Equipamento para limpeza e secagem; uso usual, confirmar com fabricante","","","Presença comercial no Brasil confirmada pelo catálogo nacional; especificações dimensionais não publicadas","Sispack — Produtos","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","Sispack","Kit de pistola de ar e água com régua e 9 bicos","não publicado","","Limpeza e secagem / kit","Pistola de ar e água, régua e 9 bicos","","não publicado","","","não aplicável","kit","","Limpeza e secagem de instrumentais; uso usual, confirmar compatibilidade com instrumental e fonte de ar/água","","","Presença comercial no Brasil confirmada; composição de materiais e dimensões não publicadas","Sispack — Produtos","","","","","","","","","","","9 bicos","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","Sispack","Sotrax","não publicado","","Saneantes / removedor de sujidade","Removedor de sujidade para superfícies inoxidáveis","","não aplicável","","","não aplicável","não publicado","","Remoção de sujidade de superfícies inoxidáveis, conforme descrição do fabricante","","","Produto publicado por fornecedor brasileiro; registro, concentração e espectro não confirmados na página consultada","Sispack — Produtos","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","Sispack","Prático X","não publicado","","Saneantes / desinfetante","Pronto uso","","não aplicável","","","não aplicável","não publicado","","Desinfetante de nível intermediário e superfície pronto uso","","","Presença comercial no Brasil confirmada; ativo, concentração, tempo de contato e regularização não publicados na página","Sispack — Produtos","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","Sispack","Prático PU","não publicado","","Saneantes / desinfetante","Desinfetante hospitalar de superfície pronto uso","","não aplicável","","","não aplicável","não publicado","","Desinfecção hospitalar de superfície pronto uso; não presumir aplicação em pele ou instrumental invasivo","","","Presença comercial no Brasil confirmada; ativo, concentração, tempo de contato e regularização não publicados na página","Sispack — Produtos","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","Sispack","Pro 1 Endo","não publicado","","Indicadores de limpeza / indicador","não publicado","","não aplicável","","","não aplicável","não publicado","","Indicador de limpeza; finalidade exata e método não publicados","","","Presença comercial no Brasil confirmada; especificação técnica insuficiente para definir ciclo ou critério de aceitação","Sispack — Produtos","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","Sispack","Lumênia L2","não publicado","","Indicadores de limpeza / indicador","não publicado","","não aplicável","","","não aplicável","não publicado","","Indicador de limpeza; uso usual, confirmar com fabricante","","","Presença comercial no Brasil confirmada; princípio de leitura e compatibilidade não publicados","Sispack — Produtos","","","","","","","","","","","não aplicável","","",""
